age,sex_enc,priors_count,juv_fel_count,juv_misd_count,juv_other_count,days_b_screening_arrest,c_days_from_compas,jail_duration,decile_score,v_decile_score,charge_degree,convicted_proxy,two_year_recid
53,1,1,0,0,0,-1.0,1.0,1.0,1,1,0,1,0
28,1,25,0,0,0,29.0,70.0,25.0,8,9,1,0,1
44,1,8,0,0,0,-1.0,1.0,4.0,5,3,0,1,1
25,1,0,0,0,0,0.0,1.0,0.0,3,4,1,1,0
22,1,1,0,0,1,0.0,0.0,5.0,8,7,0,1,1
37,0,0,0,0,0,-1.0,2.0,1.0,1,1,0,1,0
40,0,3,0,0,0,-1.0,1.0,1.0,2,1,1,1,0
36,1,8,0,0,0,150.0,0.0,22.0,7,9,1,1,1
30,1,4,0,0,0,-140.0,140.0,62.0,2,2,1,1,0
22,1,3,0,0,0,161.0,208.0,0.0,9,9,0,1,1
24,0,1,0,0,0,-32.0,32.0,29.0,7,5,0,1,1
27,1,3,0,0,0,-44.0,46.0,6.0,2,3,0,1,1
31,0,0,0,0,0,-1.0,1.0,0.0,2,2,0,1,0
23,1,1,0,0,1,-1.0,1.0,1.0,6,4,1,0,1
23,0,5,0,0,4,-1.0,1.0,0.0,5,7,1,0,1
24,1,0,0,0,0,-3.0,3.0,0.0,8,7,0,1,0
29,1,1,0,0,0,-1.0,1.0,0.0,3,3,0,1,0
20,1,1,0,0,0,-1.0,1.0,1.0,8,7,1,1,1
30,1,2,0,0,0,-1.0,1.0,1.0,6,5,1,1,1
39,1,0,0,0,0,-1.0,1.0,0.0,1,1,1,1,0
27,1,4,0,0,0,-1.0,1.0,0.0,4,4,1,0,0
31,1,2,0,0,0,812.0,1016.0,10.0,4,3,0,0,0
37,0,2,0,0,0,0.0,0.0,0.0,1,1,1,0,0
20,1,0,0,0,0,-1.0,1.0,2.0,8,6,1,1,0
22,1,0,0,0,1,0.0,0.0,2.0,7,6,1,1,0
52,0,0,0,0,0,-1.0,1.0,0.0,1,1,1,1,0
23,0,0,0,0,0,-1.0,1.0,3.0,4,4,1,1,1
48,0,0,0,0,0,-1.0,1.0,1.0,2,3,1,1,0
25,1,0,0,0,0,0.0,1.0,0.0,5,4,1,1,0
27,1,0,0,0,0,-1.0,1.0,1.0,6,7,1,1,1
30,1,11,0,0,0,0.0,0.0,1.0,7,6,1,1,1
22,1,3,0,1,1,-1.0,1.0,1.0,10,7,0,1,1
22,0,1,0,0,0,-1.0,1.0,0.0,3,4,1,1,0
32,1,2,0,0,0,-232.0,232.0,40.0,4,4,1,0,0
41,0,2,0,0,0,-1.0,1.0,0.0,3,1,0,1,0
25,0,0,0,0,0,-1.0,1.0,0.0,2,3,1,1,0
44,1,24,0,0,0,53.0,31.0,117.0,7,3,0,1,0
52,1,3,0,0,0,0.0,1.0,24.0,6,2,1,1,1
43,1,0,0,0,0,-1.0,1.0,41.0,1,1,1,1,0
37,1,3,0,0,0,-4.0,4.0,2.0,1,1,1,0,0
28,1,3,0,0,0,299.0,100.0,2.0,4,3,0,1,1
70,1,1,0,0,0,-13.0,13.0,12.0,1,1,0,1,0
54,1,6,0,0,0,-266.0,322.0,0.0,2,1,1,1,1
46,1,3,0,0,0,-1.0,1.0,14.0,4,2,1,0,0
21,1,0,0,0,0,-1.0,1.0,1.0,9,7,0,1,1
26,1,1,0,0,0,-1.0,1.0,1.0,8,6,0,1,1
38,1,3,0,0,0,23.0,82.0,1.0,1,1,1,1,1
34,1,5,0,0,0,-1.0,1.0,1.0,4,4,0,1,0
19,1,1,0,0,0,-48.0,48.0,48.0,5,7,1,1,1
34,1,5,0,0,0,-1.0,1.0,0.0,4,4,0,1,0
23,1,0,0,0,0,0.0,1.0,0.0,5,5,1,1,1
34,1,5,0,0,0,-1.0,1.0,2.0,4,2,1,1,1
30,1,2,0,0,0,-83.0,83.0,83.0,1,2,1,0,0
39,1,6,0,0,0,-1.0,1.0,2.0,3,1,1,1,1
24,1,0,0,0,0,-1.0,1.0,1.0,3,5,1,1,0
33,1,1,0,0,0,-93.0,93.0,0.0,3,2,0,1,1
58,1,2,0,0,0,-1.0,1.0,1.0,3,1,1,1,0
21,0,0,0,0,0,0.0,0.0,0.0,6,7,0,1,0
21,1,1,0,0,0,-36.0,36.0,36.0,5,7,1,1,0
23,1,4,0,0,1,-11.0,11.0,11.0,8,5,0,1,1
62,1,0,0,0,0,0.0,0.0,1.0,1,1,1,1,0
27,1,4,1,0,1,300.0,707.0,0.0,8,10,0,1,1
37,1,5,0,0,0,-1.0,1.0,10.0,3,1,1,1,0
43,1,2,0,0,0,-1.0,1.0,7.0,2,1,1,1,1
32,0,5,0,0,0,0.0,2.0,-1.0,1,1,1,1,0
23,1,0,0,0,0,-1.0,1.0,45.0,3,5,1,1,0
27,1,0,0,0,0,0.0,1.0,0.0,1,2,0,1,0
44,1,0,0,0,0,-1.0,1.0,1.0,1,1,0,1,1
28,1,3,0,0,0,-1.0,1.0,0.0,3,3,0,1,1
42,0,0,0,0,0,-3.0,3.0,1.0,2,1,1,1,0
24,1,9,0,1,0,-1.0,1.0,4.0,10,10,1,1,1
27,1,0,0,0,0,0.0,0.0,17.0,2,3,1,1,0
20,1,0,0,0,0,-1.0,1.0,0.0,10,9,1,1,1
51,0,0,0,0,0,0.0,1.0,1.0,1,1,0,1,0
56,1,0,0,0,0,0.0,1.0,1.0,1,1,0,1,0
29,1,7,0,0,0,-1.0,1.0,1.0,9,6,1,0,0
20,1,0,0,0,0,-1.0,1.0,209.0,9,8,1,1,1
53,1,6,0,0,0,-176.0,176.0,174.0,1,1,1,0,0
27,1,8,0,0,0,-1.0,1.0,68.0,5,3,1,0,0
24,1,2,0,1,0,-1.0,1.0,19.0,9,9,1,1,1
53,1,36,0,0,0,-7.0,7.0,32.0,6,9,1,1,1
28,1,2,0,0,0,0.0,1.0,1.0,3,4,0,1,1
21,1,3,0,1,0,-22.0,22.0,22.0,5,6,1,1,0
36,0,0,0,0,0,-1.0,1.0,12.0,7,5,1,1,0
25,0,2,0,0,0,-2.0,2.0,1.0,4,4,0,1,1
23,0,1,0,0,0,0.0,1.0,0.0,3,4,0,1,0
28,1,1,0,0,0,-4.0,4.0,1.0,5,3,1,1,0
21,0,0,0,0,0,-1.0,1.0,1.0,8,7,1,1,1
36,1,0,0,0,0,-1.0,1.0,0.0,3,3,0,1,0
24,1,0,0,0,0,-1.0,1.0,0.0,3,4,1,1,0
28,1,3,0,0,0,206.0,862.0,32.0,6,4,1,0,1
30,1,1,0,0,0,-1.0,1.0,0.0,2,2,1,0,1
29,1,0,0,0,0,-1.0,1.0,1.0,1,2,1,1,0
30,0,0,0,0,0,0.0,1.0,3.0,6,2,0,1,0
51,1,1,0,0,0,-1.0,2.0,1.0,1,1,0,1,0
33,1,3,0,0,0,-94.0,94.0,3.0,1,1,1,1,0
25,0,2,0,0,0,-86.0,86.0,1.0,6,5,1,0,0
32,1,12,0,1,0,-1.0,1.0,1.0,9,7,1,0,1
23,1,1,0,0,1,0.0,1.0,1.0,6,5,1,1,0
47,1,3,0,0,0,0.0,0.0,0.0,3,2,1,1,0
32,0,1,0,0,0,-80.0,80.0,2.0,3,3,1,1,1
37,1,0,0,0,0,-1.0,0.0,19.0,1,1,1,1,0
19,1,2,0,2,0,-1.0,1.0,1.0,10,9,1,1,1
27,1,0,0,0,0,-1.0,1.0,2.0,8,6,0,1,0
39,1,0,0,0,0,-1.0,1.0,0.0,1,1,0,1,0
21,0,0,0,0,2,0.0,0.0,0.0,6,8,1,1,0
69,1,0,0,0,0,-1.0,1.0,0.0,1,1,0,1,0
21,1,2,0,0,0,-1.0,1.0,2.0,6,6,1,0,0
26,1,6,0,0,1,0.0,0.0,3.0,10,10,0,1,1
22,1,0,0,0,0,-2.0,3.0,0.0,4,5,1,1,0
23,0,0,0,0,0,-1.0,1.0,0.0,5,5,1,1,1
49,1,3,0,0,0,0.0,1.0,3.0,5,4,1,1,0
29,1,2,0,0,1,-1.0,1.0,50.0,4,3,0,1,0
60,0,0,0,0,0,-1.0,1.0,0.0,1,1,0,1,0
23,1,3,2,0,0,0.0,1.0,0.0,10,10,1,1,1
34,1,2,0,0,0,47.0,271.0,207.0,5,2,0,0,1
20,0,1,1,0,0,-21.0,21.0,2.0,4,7,1,0,0
36,1,1,0,0,0,0.0,1.0,95.0,3,2,1,1,0
30,1,0,0,0,0,0.0,1.0,1.0,4,3,1,1,0
21,1,1,0,1,0,-1.0,2.0,-1.0,3,6,1,1,0
22,1,2,0,0,0,-1.0,1.0,0.0,6,5,0,1,1
21,1,4,0,0,0,-1.0,0.0,219.0,9,6,1,0,1
21,1,0,0,0,0,-1.0,1.0,12.0,5,6,1,1,1
34,1,1,0,0,0,0.0,0.0,0.0,1,1,0,1,0
50,0,1,0,0,0,-1.0,1.0,0.0,1,1,0,1,1
40,1,0,0,0,0,-1.0,1.0,8.0,7,9,1,0,1
25,1,7,0,0,0,-1.0,1.0,127.0,8,7,1,1,1
53,0,1,0,0,0,-1.0,1.0,0.0,1,1,0,1,0
24,0,0,0,0,0,-1.0,1.0,1.0,4,4,1,1,0
42,1,1,0,0,0,-12.0,13.0,4.0,1,1,1,0,0
28,1,1,0,0,0,-1.0,1.0,1.0,3,3,0,1,0
24,1,1,0,0,0,-36.0,37.0,36.0,4,4,0,1,0
26,1,6,1,1,0,-1.0,1.0,1.0,8,3,1,1,1
22,1,4,0,0,0,-1.0,1.0,260.0,9,9,1,1,1
21,1,3,0,0,0,-8.0,8.0,5.0,7,8,0,0,0
37,1,23,0,0,0,-1.0,1.0,17.0,9,4,1,1,1
35,1,2,0,0,0,-1.0,1.0,5.0,5,5,1,1,0
53,1,2,0,0,0,-1.0,1.0,0.0,1,1,1,1,0
29,1,7,0,0,0,-1.0,1.0,1.0,4,3,1,1,0
48,1,23,1,0,0,-1.0,1.0,360.0,8,5,1,1,1
52,0,0,0,0,0,0.0,1.0,0.0,1,1,0,1,0
27,1,12,0,0,0,-1.0,1.0,31.0,8,5,1,1,1
28,1,5,0,0,0,0.0,0.0,51.0,9,6,1,0,0
33,1,3,0,0,0,0.0,1.0,0.0,3,1,0,1,0
28,0,0,0,0,0,-1.0,1.0,2.0,2,2,1,0,0
47,1,5,0,0,0,-312.0,312.0,291.0,10,6,1,1,1
36,1,14,0,0,0,-1.0,1.0,0.0,7,3,1,1,1
29,1,2,1,0,0,-1.0,1.0,1.0,5,5,1,1,0
22,1,0,0,0,1,0.0,0.0,21.0,9,7,0,1,1
26,1,6,0,0,2,-34.0,35.0,0.0,7,7,1,1,0
25,1,0,0,0,0,0.0,1.0,0.0,2,3,1,1,0
68,1,2,0,0,0,-150.0,150.0,0.0,1,1,1,1,0
56,1,5,0,0,0,-1.0,1.0,12.0,3,3,1,1,0
27,1,9,0,0,0,-1.0,1.0,52.0,8,8,1,1,1
52,1,4,0,0,0,-1.0,1.0,7.0,1,1,1,1,1
32,1,3,0,0,0,0.0,1.0,1.0,2,2,1,1,0
60,1,4,0,0,0,-1.0,1.0,1.0,1,1,1,0,0
23,1,1,0,0,0,-5.0,5.0,5.0,3,4,0,1,0
39,0,0,0,0,0,-2.0,2.0,0.0,6,2,0,1,0
